date,Content,Likes,Retweet
2011-12-30 15:35:47+00:00,"Not that this really matters. All current rocket tech, including ours, sucks. Only when it becomes fully reusable, will it not suck.",1305,186
2011-12-30 14:36:17+00:00,China unveils ambitious space strategy http://t.co/udHmuft2,287,21
2011-12-30 04:57:23+00:00,"To be clear, CtG absolutely did *not* bang her horse. They were just close friends who liked to take showers together and spoon at night.",467,85
2011-12-30 04:10:31+00:00,"Right mood, scented candles, Barry White singing ""Can't Get Enough of Your Love, Baby"" and the magic (by that I mean horsef*ing) happens ...",672,471
2011-12-30 04:03:42+00:00,I'm just saying that u shouldn't pass judgment based on one night of passion. Sometimes things just happen and u go with the moment :),144,49
2011-12-30 03:58:30+00:00,"Sew one button, doesn't make u a tailor; cook one meal, doesn't make u a chef; but f* one horse and u r a horsef*er for all of history...",164136,43037
2011-12-30 03:53:51+00:00,"Am reading Robert Massie's book on Catherine the Great. Yeah, I know what you're probably thinking ... did she really f* a horse?",254,70
2011-12-29 22:45:17+00:00,"Am not saying that is *necessarily* good or bad, but reality will force us to live with the consequences of our actions http://t.co/fnXmhUok",361,38
2011-12-29 22:31:09+00:00,Interesting Economist article about how humanity's collective actions have created a fundamentally new geological age -- the Anthropocene.,37,12
2011-12-29 14:22:15+00:00,"@om Cool personal essay. It really resonated with me, as I felt the same way after coming very close to dying from malaria ten years ago.",40,12
2011-12-29 09:12:01+00:00,"@richardbranson Liked ""Screw Business as Usual"" a lot. This approach should be taken to heart by all, as it really is the smart move.",137,18
2011-12-29 08:56:23+00:00,"@kanyewest Just returned from Haiti. For those who want to help, I recommend donating to MSF, UNICEF and Artists for Peace & Justice.",253,22
2011-12-28 22:27:08+00:00,@TheOnion So true :),293,9
2011-12-27 23:38:55+00:00,If you ever wanted to know the *real* truth about the moon landings ...(best Onion article ever) http://t.co/pgNEJsjI,48,40
2011-12-26 16:29:50+00:00,Walked around a neighborhood recently rebuilt with help from APJ and others http://t.co/KYHjsS1k,341,30
2011-12-26 15:45:18+00:00,"Met with UNICEF, Doctors Without Borders and Artists for Peace & Justice. I support them and would recommend others do too.",51,36
2011-12-26 15:23:40+00:00,Just returned from a trip to Haiti. Covered a lot of ground and saw many tough situations. They need a lot of help.,52,17
2011-12-26 15:05:19+00:00,Single character Tweets are the ulitmate extension of the Twitmeme...,105,13
2011-12-26 04:06:06+00:00,I,545,111
2011-12-24 01:41:33+00:00,The Russians are having some challenges with their rockets. Too many of the engineers that designed them have retired: http://t.co/rEs7spSU,53,20
2011-12-24 01:33:35+00:00,We had a long and interesting conversation on many subjects. He has exciting ideas for extending his creative talents beyond music.,45,10
2011-12-24 01:29:19+00:00,Kanye stopped by the SpaceX rocket factory today. http://t.co/6z7gHBn6,110966,8106
2011-12-22 11:30:10+00:00,Model S options are out! Performance in red and black for me.  I will deliver my car in June/July. http://t.co/acnyP4nh,847,82
2011-12-22 09:46:16+00:00,"Hi, I'm Art Garfunkel. Have you heard the sound of silence? Because, you know, it makes a sound... http://t.co/7vgya9xL",1131,183
2011-12-22 03:12:52+00:00,Raul Campos invited me to do a guest DJ gig on KCRW.  Hear my random holiday season music selections at http://t.co/o6FQASvC,94,8
2011-12-21 23:17:11+00:00,Yum! Even better than deep fried butter: http://t.co/Ody21NuD,160,23
2011-12-21 11:13:59+00:00,"Yeah, this really is me, as my Mom @mayemusk will attest.
Not sure I can handle just doing 140 char missives. Will put longer thoughts on G+",61,10
2011-12-21 11:00:19+00:00,"Got called randomly by Kanye West today and received a download of his thoughts, ranging from shoes to Moses. He was polite, but opaque.",1708,639
2011-12-21 10:48:29+00:00,"His singing and acting talent will be sorely missed:  http://t.co/IIFKob75
South Park sequel coming soon...",43,7
2011-12-21 10:42:52+00:00,Why does the crowd cry over the glorious leader Kim Il Sung's death?  Fear of being shot may play a role:  http://t.co/hoQrYtG1,138,11
2011-12-21 10:30:05+00:00,Sam Harris also wrote a nice piece on the awesomeness of Hitchens: http://t.co/fPkLiK3v May the good man RIP.,120,25
2011-12-21 10:26:51+00:00,"Read ""Lying"", the new book by my friend Sam Harris.  Excellent cover art and lots of good reasons not to lie!",306,67
2011-12-04 03:33:52+00:00,Am reading a great biography of Ben Franklin by Isaacson. Highly recommended.,208,28
2011-12-03 08:22:07+00:00,That was a total non sequitur btw,144,17
2011-12-03 08:20:28+00:00,"Great Voltaire quote, arguably better than Twain. Hearing news of his own death, Voltaire replied the reports were true, only premature.",85,33
2011-12-01 10:29:04+00:00,I made the volume on the Model S http://t.co/wMCnT53M go to 11.  Now I just need to work in a miniature Stonehenge...,80,12
2011-12-01 09:55:11+00:00,"Went to Iceland on Sat to ride bumper cars on ice!  No, not the country, Vlad's rink in Van Nuys. Awesome family fun :) http://t.co/rBQXJ9IT",198,27
