date,Content,Likes,Retweet
2012-12-29 14:17:02+00:00,Death Valley restored to position of world's hottest place http://t.co/3I26Y4aN,30,45
2012-12-29 14:16:03+00:00,CA's Death Valley is #1 again! Tesla hot weather testing was done there. Model S was fine but gas tow truck overheated.,85,119
2012-12-25 22:02:34+00:00,@TristanLaurent V cute! Merry Xmas.,11,4
2012-12-24 02:44:12+00:00,Cowboy riding the rocket no problemo http://t.co/YZdNpwX3,182,158
2012-12-24 02:32:20+00:00,Single camera view of the 40 meter rocket hover http://t.co/Zlh7xC7T,111,190
2012-12-24 02:20:49+00:00,Then we took him for a ride: 40 meter hover flight vid of the SpaceX Grasshopper test rocket http://t.co/2563ykr2,142,292
2012-12-24 02:12:11+00:00,"To provide a little perspective on the size of Grasshopper, we added a 6 ft cowboy to the rocket http://t.co/3NMYJqmd",1328,218
2012-12-19 23:29:54+00:00,Very much agree with this great review of Chasing Ice on Ars Technica http://t.co/bzMQQyAk,35,49
2012-12-19 01:20:51+00:00,"Thanks! “@ev: Have driven a Tesla Model S 50 miles now. It's clearly the iPhone of cars—by far the best car ever made.""",89,89
2012-12-14 14:49:15+00:00,Good piece on volcanoes “@DanRetz: The USGS would seem to disagree. http://t.co/evnCgdC4”,26,16
2012-12-14 14:44:20+00:00,@prbowman Roughly equivalent to a 747 flight from LA to London (one way).,15,3
2012-12-14 14:42:47+00:00,@ImprobableToad That's why I'm a believer in solar power. We have a giant fusion reactor conveniently located in the sky.,20,13
2012-12-14 14:21:17+00:00,"Exactly MT ""@DanRetz IMHO: continuing the uncontrolled experiment of adding co2 to atmosphere is a bad idea.”",29,55
2012-12-14 13:57:53+00:00,It is hard to argue with a thermometer. Global warming is real and accelerating. Wish it wasn't. http://t.co/wB4w9coU,43,137
2012-12-12 20:06:11+00:00,Cool video recap of the big events of the year by Google #Zeitgeist2012 http://t.co/FZjy4vkL,68,116
2012-12-12 17:44:27+00:00,"@Neowolf2 Relative to kerosene, methane is not prone to coking, but we would run v high purity anyway for max Isp.",13,3
2012-12-12 17:40:48+00:00,"@chrisbrandow @TEA_in_Space Yup or Douglas Aircraft, creator of the awesome DC-3 http://t.co/4o8OHDCo",9,3
2012-12-12 17:35:07+00:00,"My big worry would be long (hopefully) term when I'm dead, eg v sad situation with once great HP  @TEA_in_Space",14,13
2012-12-12 17:27:15+00:00,"SpaceX will go public at some point, as I think it should ultimately be owned primarily by the public ""@bm_ will SpaceX go public?""",76,143
2012-12-12 17:15:02+00:00,"@IntlManOfRealty Best to study some form of engineering, which is the art of creating useful things that didn't exist before.",58,20
2012-12-12 17:12:05+00:00,"Tesla articles 30 mins apart: ""This Stock is Screaming Buy"" http://t.co/jb9DCw4s and ""This Stock Could Get DESTROYED"" http://t.co/dqxTK4LJ",52,57
2012-12-11 02:54:30+00:00,Tesla was just approved for a full Class 1 Massachusetts Auto Sales License by a vote of 4 to 1. Much appreciated!,97,190
2012-12-09 23:13:23+00:00,"Told my kids (age 8 and 6) that we were going to see the Nutcracker, which somehow got translated as the Buttcracker.",136,116
2012-12-09 08:38:48+00:00,Congrats to @dmetcalf for being the first to drive a Tesla Model S over 400 miles on a single charge!,71,164
2012-12-05 05:20:41+00:00,"Interesting possible answer to the Fermi Paradox 
http://t.co/ASZdxBAl",120,158
2012-12-04 04:40:56+00:00,Am happy to report that Tesla was narrowly cash flow positive last week. Continued improvement expected through year end.,346,659
2012-12-02 21:12:03+00:00,Uranium ore now available on Amazon! So much more convenient than Uzbekistan #AwesomeXmasGifts http://t.co/jqWAJrnY,345,673
2012-11-29 10:00:15+00:00,@shervin Thanks Shervin!,38,6
2012-11-28 01:19:37+00:00,"Can't put my finger on it, but for some reason the newsstand is looking particularly good right now http://t.co/gRARJ3xy",1138,675
