date,Content,Likes,Retweet
2015-12-22 04:57:19+00:00,High res video of landing from the helo https://t.co/G0Yq2V5J3m,9364,6427
2015-12-22 03:44:50+00:00,Live video from LZ-1 https://t.co/Ve6gEXfOdh,10081,4715
2015-12-22 03:31:36+00:00,Falcon 9 standing on LZ-1 at Cape Canaveral https://t.co/RZdfcH0exW,8897,4045
2015-12-22 03:15:56+00:00,@morganpage thanks!,166,3
2015-12-22 03:14:36+00:00,There and back again https://t.co/Ll7wg2hL1G,37822,22761
2015-12-22 03:12:56+00:00,@Jon_Favreau Thanks Jon!,297,21
2015-12-22 02:32:46+00:00,"11 satellites deployed to target orbit and Falcon has landed back at Cape Canaveral. Headed to LZ-1. Welcome back, baby!",16385,8062
2015-12-22 01:25:00+00:00,Background on the launch https://t.co/1SkttU684X,1995,889
2015-12-21 00:22:44+00:00,Launch &amp; landing can be seen on the https://t.co/bDd3GxQXMC webcast or in person from Cape Canaveral public causeway at 8:33pm local tmrw,2590,1623
2015-12-19 09:57:50+00:00,Currently looking good for a Sunday night (~8pm local) attempted orbital launch and rocket landing at Cape Canaveral,3567,1585
2015-12-19 04:14:31+00:00,Meant to reply to this article: https://t.co/JRvXcTG3el,655,159
2015-12-19 04:12:29+00:00,This article does not appreciate that Tesla is in California despite taxes net of rebates being higher. Incentives only a partial offset.,926,182
2015-12-19 00:09:39+00:00,"Static fire test looks good. Pending data review, will aim to launch Sunday.",2393,837
2015-12-18 22:35:22+00:00,Rounding up to 1 sec for a bit of timing margin. Updating flight computer command sequence …,600,115
2015-12-18 21:56:30+00:00,Aborted on ignition timing due to slow ground side valve. Adjusting ignition sequence by 0.6 secs for next attempt.,914,208
2015-12-18 21:18:21+00:00,About 2 mins from static fire,789,181
2015-12-18 20:30:20+00:00,@elonmusk holding for issue resolution,372,73
2015-12-18 20:14:42+00:00,Abort triggered by flight computer on upper stage throttle valve. Adjusting thresholds and restarting count at T-10 mins.,789,239
2015-12-18 19:55:36+00:00,5 mins from static fire test,1410,345
2015-12-18 01:48:45+00:00,"@lukealization yes, from 70F to 20 F",99,10
2015-12-18 01:47:30+00:00,@craigcocca It worked in Texas,96,11
2015-12-18 01:34:38+00:00,@PaigeANjax -340 F in this case. Deep cryo increases density and amplifies rocket performance. First time anyone has gone this low for O2.,497,150
2015-12-18 01:23:38+00:00,Falcon 9 is vertical on the launch pad at Cape Canaveral. Working towards static fire. Deep cryo liquid oxygen presenting some challenges.,2300,748
2015-12-18 00:29:20+00:00,@mashabletech @mashable Not really my letter (no authorship contribution). Just agreed to add my name when they asked.,73,14
2015-12-17 08:23:44+00:00,Vance article on self-driving cars was inaccurate https://t.co/AV636KAcKH,1015,476
2015-12-11 21:46:36+00:00,"Announcing formation of @open_ai …
https://t.co/Fcouhwh6MC",4040,3347
2015-12-10 09:35:38+00:00,Aiming for Falcon rocket static fire at Cape Canaveral on the 16th and launch about three days later,3054,1168
2015-12-10 09:11:55+00:00,@laulauritzen Agreed. Working on it.,68,8
2015-12-09 22:23:09+00:00,wow https://t.co/T7PFpoqpEx,1500,626
2015-12-06 20:54:21+00:00,@NASA Best of luck to the Cygnus launch,668,128
2015-12-04 01:54:08+00:00,@MikeBloomberg Nice ride! Looking forward to seeing you tomorrow.,152,23
2015-12-03 12:12:43+00:00,Good summary of my talk in Paris on climate change https://t.co/n27JiXUsW9,2155,1410
2015-12-02 17:18:57+00:00,About to give a talk at the Sorbonne https://t.co/j7iVq1GycH,987,292
2015-11-24 17:44:30+00:00,"@ID_AA_Carmack Yep, good points. I hope you get back into space some day!",332,42
2015-11-24 17:14:54+00:00,"But credit for 1st reusable suborbital rocket goes to X-15 https://t.co/LSb0f8FLJd
And Burt Rutan for commercial
https://t.co/TGWlNjsyQz",1066,410
2015-11-24 17:02:22+00:00,Jeff maybe unaware SpaceX suborbital VTOL flight began 2013. Orbital water landing 2014. Orbital land landing next. https://t.co/S6WMRnEFY5,1502,752
2015-11-24 16:41:29+00:00,"@JeffBezos Not quite ""rarest"". SpaceX Grasshopper rocket did 6 suborbital flights 3 years ago &amp; is still around. https://t.co/6j9ERKCNZl",2213,816
2015-11-24 12:37:34+00:00,@TobiasVdb The F9 booster can reach low orbit as a single stage if not carrying the upper stage and a heavy satellite.,195,55
2015-11-24 12:30:59+00:00,"Getting to space needs ~Mach 3, but GTO orbit requires ~Mach 30. The energy needed is the square, i.e. 9 units for space and 900 for orbit.",1602,718
2015-11-24 12:25:16+00:00,"It is, however, important to clear up the difference between ""space"" and ""orbit"", as described well by https://t.co/7PD42m37fZ",2649,1346
2015-11-24 12:24:02+00:00,Congrats to Jeff Bezos and the BO team for achieving VTOL on their booster,2614,1259
2015-11-20 02:57:53+00:00,"@levie Sounds perfect, you had me at ""enterprise"".",613,88
